Site,bloom,year,month,day_of_year,date,NDVI,NDWI,EVI,LST,cloud_cover,longitude,latitude
San Carlos Reservation,1,2015,3,64,2015-03-06,0.11879465338403225,-0.14950439510078178,0.8572045738525909,22.833380528126536,0.7,-110.30604951317055,33.27674050735342
San Carlos Reservation,1,2015,3,80,2015-03-22,0.12724437032962588,-0.15673514284038395,0.9391309468463411,32.535235802566426,0.18,-110.30604951317055,33.27674050735342
San Carlos Reservation,1,2016,3,67,2016-03-08,0.13319049118344217,-0.16088286389310474,0.8076097947609938,19.5709307469573,35.25,-110.30604951317055,33.27674050735342
San Carlos Reservation,1,2016,3,83,2016-03-24,0.1314261866281998,-0.16648715881889037,0.8642652252022749,32.67576463351186,0.09,-110.30604951317055,33.27674050735342
San Carlos Reservation,1,2017,3,69,2017-03-11,0.1429834905001312,-0.16706246482424908,1.1262025427358135,32.81510267244625,15.13,-110.30604951317055,33.27674050735342
San Carlos Reservation,1,2017,3,85,2017-03-27,0.14426859851791005,-0.17266974435132493,0.8149152702725904,27.006432513731223,35.24,-110.30604951317055,33.27674050735342
San Carlos Reservation,1,2018,3,72,2018-03-14,0.10276261975121355,-0.13880990657293207,0.719794581551641,29.324361878051032,64.29,-110.30604951317055,33.27674050735342
San Carlos Reservation,1,2018,3,88,2018-03-30,0.1040478594545956,-0.14483507017114347,0.6368822723608315,38.27670782510445,0.11,-110.30604951317055,33.27674050735342
San Carlos Reservation,1,2019,3,59,2019-03-01,0.14253856342495808,-0.17118158057993196,0.834690045551994,18.820410654938023,25.44,-110.30604951317055,33.27674050735342
San Carlos Reservation,1,2019,3,75,2019-03-17,0.16745851793983138,-0.18915183696296076,1.2087639358261275,21.740485608537593,3.84,-110.30604951317055,33.27674050735342
San Carlos Reservation,1,2020,3,62,2020-03-03,0.15026923743982107,-0.1706359122161217,1.1646745971991523,23.36343646926584,58.33,-110.30604951317055,33.27674050735342
San Carlos Reservation,1,2020,3,78,2020-03-19,0.22545061086075419,-0.21371717173475832,1.5216889638388913,12.410232587855734,63.87,-110.30604951317055,33.27674050735342
San Carlos Reservation,1,2021,3,64,2021-03-06,0.09919167562831233,-0.14255242767455412,0.5877588240594621,25.717191827789755,1.21,-110.30604951317055,33.27674050735342
San Carlos Reservation,1,2021,3,80,2021-03-22,0.10492983802487701,-0.14768686509870627,0.584513814706704,26.725738025283597,23.79,-110.30604951317055,33.27674050735342
San Carlos Reservation,1,2022,3,67,2022-03-09,0.0998883350805287,-0.14083999654560495,0.6593370468943248,26.064465473312442,1.26,-110.30604951317055,33.27674050735342
San Carlos Reservation,1,2022,3,83,2022-03-25,0.10280014905730445,-0.14328342596007104,0.5964141734633798,36.07950673887493,0.73,-110.30604951317055,33.27674050735342
San Carlos Reservation,1,2023,3,70,2023-03-12,0.12212522020118291,-0.1498482759117622,0.8527133484623292,27.941171727360715,10.8,-110.30604951317055,33.27674050735342
San Carlos Reservation,1,2023,3,86,2023-03-28,0.1374921239485313,-0.16357430834666098,0.9455625074103995,25.973486492582946,1.53,-110.30604951317055,33.27674050735342
San Carlos Reservation,1,2024,3,73,2024-03-14,0.1670756757186973,-0.18739247917526353,1.1158331637732664,25.905407148927733,26.63,-110.30604951317055,33.27674050735342
Picacho Peak State Park,1,2015,3,71,2015-03-13,0.14370459049209677,-0.182139619672986,0.6990972197064168,39.572873277316745,2.74,-111.41815309346114,32.63191414376897
San Carlos Reservation,1,2015,3,71,2015-03-13,0.12620963735296653,-0.15864226507882384,0.7892054534430494,32.05038711474988,2.74,-110.30604951317055,33.27674050735342
Suguaro Lake,1,2015,3,71,2015-03-13,0.141685315017384,-0.1717654809635351,0.8325709732326857,34.90027084902374,2.74,-111.54542297799958,33.59825955383104
Picacho Peak State Park,1,2015,3,87,2015-03-29,0.10992800246261526,-0.16146946937136586,0.47548500376591385,38.486143786245634,15.1,-111.41815309346114,32.63191414376897
