Site,bloom,year,month,day_of_year,date,NDVI,NDWI,EVI,LST,cloud_cover,longitude,latitude
Non_Bloom_Area,0,2015,1,6,2015-01-07,0.12113279779406787,-0.1025458397038772,0.44282892840765076,-4.272690993589215,39.64,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2015,1,22,2015-01-23,0.02989662362522342,-0.04137965379363239,0.8440582116564387,2.1385692214490377,3.51,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2018,1,30,2018-01-31,0.029146014630879357,-0.0433759882813474,0.390441352533654,-0.9093675976474064,3.06,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2020,1,4,2020-01-05,0.04648890685951398,-0.05584954682962716,-4.29702802712097,4.034127517756486,56.38,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2020,1,20,2020-01-21,0.031362784437371984,-0.0429722532649275,-0.03412258039926005,-0.4171902620313196,4.68,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2021,1,6,2021-01-07,0.041514049547985016,-0.05224603825639904,-0.5885556585921351,2.7584657662545977,9.68,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2021,1,22,2021-01-23,0.03558851744113318,-0.04527933797529037,1.8621424068419858,0.3747286125644748,26.34,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2022,1,9,2022-01-10,0.04038773069879757,-0.05278032870730476,0.978048088107482,-0.3774153402200941,16.91,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2022,1,25,2022-01-26,0.03376770656666045,-0.04795974070605649,0.5305471127121413,-1.0539958884948595,22.11,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2017,1,18,2017-01-19,0.03045635500608334,-0.04195157963688554,-0.4005295563099888,8.032804677641838,56.95,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2018,1,5,2018-01-06,0.17299791424443778,-0.17396901600753534,0.24021551340925895,-11.384890654882755,13.62,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2019,1,8,2019-01-09,0.03306254229350594,-0.045469742703945736,0.17231790263533384,5.311135107526041,24.43,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2019,1,24,2019-01-25,0.02882620387350236,-0.04058721342572297,1.0001305494351622,3.719285368222076,28.35,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2021,1,29,2021-01-30,0.037188713330181006,-0.04957407749819605,-0.49118774407856197,-2.427782220327887,11.26,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2023,1,19,2023-01-20,0.031041342002297693,-0.04211543611071011,0.7246526552929615,7.829269750060164,64.37,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2015,1,9,2015-01-10,0.15779013489156776,-0.16323366740340023,2.6085708514438006,0.14987475865023384,0.22,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2016,1,12,2016-01-13,0.16391290085945118,-0.16842183767402558,1.7940891122531935,-1.2055269922640741,0.78,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2016,1,28,2016-01-29,0.18062953872243678,-0.18601694604014918,3.065056604495281,2.673469853031597,37.81,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2018,1,1,2018-01-02,0.15607197455438443,-0.16531358210642566,0.9734748944344556,-6.278079400119117,1.31,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2018,1,17,2018-01-18,0.17822711823554135,-0.1848735637149052,1.896366673176531,-2.5725892926011715,8.25,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2019,1,4,2019-01-05,0.18375833748105486,-0.18753194816789276,3.2060223632641085,3.631379080569314,17.33,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2019,1,20,2019-01-21,0.13312606669720703,-0.13360890043925933,0.9452623416998253,-8.821288554505092,6.18,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2020,1,7,2020-01-08,0.17074182153892123,-0.1742094829647475,3.5249139021416402,3.625936132681082,1.54,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2021,1,9,2021-01-10,0.11260987552137595,-0.0747401856128802,0.13177820127498746,-1.521180353233551,12.09,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2021,1,25,2021-01-26,0.1843956173041066,-0.18702070284057612,2.350657706190776,12.6164195875648,51.14,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2023,1,15,2023-01-16,0.19757894026052303,-0.2000198303559716,2.416776209919975,1.4275999738857472,48.63,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2015,1,9,2015-01-10,0.1573646293984828,-0.1645387123761751,2.874241875134132,0.10509306199729895,0.06,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2016,1,12,2016-01-13,0.16299702594040588,-0.16930490228944675,2.4178708033953407,-1.2524634482180366,0.08,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2016,1,28,2016-01-29,0.1800632866754996,-0.18732353103628996,0.7633650682803901,2.721135779716743,4.56,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2018,1,1,2018-01-02,0.1606984212041704,-0.17248301227083146,2.0074663558462023,-5.820860565770528,0.49,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2018,1,17,2018-01-18,0.1809900885958436,-0.1893146911352318,1.3226031676062902,-2.4831180616697304,9.77,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2019,1,4,2019-01-05,0.17940246295063925,-0.18486911660692854,2.753951422462539,3.4095931767373773,0.27,-114.79692867652831,35.3410720584522
