Site,year,NDVI,NDWI,cloud_cover,longitude,latitude,bloom,month,day_of_year,day_of_month,is_spring,is_summer,is_fall,is_winter
Estrella Mountain Regional Park,2020,0.1270603565557277,-0.1513652114519912,8.0,-112.36386460405505,33.32784079444161,1,3,61,1,1,0,0,0
South Mountain Park and Preserve,2020,0.1108688760541407,-0.1316515227557277,8.0,-112.07403564386821,33.335509687319345,1,3,61,1,1,0,0,0
Suguaro Lake,2020,0.1601543821002427,-0.1820440790437245,8.0,-111.54542234104356,33.598266304516876,1,3,61,1,1,0,0,0
Black Canyon City,2020,0.1617251026749733,-0.1760447322546378,21.42,-112.1229142911712,34.12896611231567,1,3,77,17,1,0,0,0
Estrella Mountain Regional Park,2020,0.1158233774485624,-0.1401239063012571,21.42,-112.36386460405505,33.32784079444161,1,3,77,17,1,0,0,0
South Mountain Park and Preserve,2020,0.1168493940719029,-0.1338200091014347,21.42,-112.07403564386821,33.335509687319345,1,3,77,17,1,0,0,0
Suguaro Lake,2020,0.1513998806552519,-0.1691311138162045,21.42,-111.54542234104356,33.598266304516876,1,3,77,17,1,0,0,0
Black Canyon City,2020,0.1573317245825861,-0.1767567739876758,0.01,-112.1229142911712,34.12896611231567,1,4,93,2,1,0,0,0
Estrella Mountain Regional Park,2020,0.1147124946653213,-0.1458216322413738,0.01,-112.36386460405505,33.32784079444161,1,4,93,2,1,0,0,0
South Mountain Park and Preserve,2020,0.1161202895836173,-0.1399924603386685,0.01,-112.07403564386821,33.335509687319345,1,4,93,2,1,0,0,0
Suguaro Lake,2020,0.1504483707589347,-0.1812600056693353,0.01,-111.54542234104356,33.598266304516876,1,4,93,2,1,0,0,0
Black Canyon City,2020,0.1436521644357963,-0.1722790433167288,38.72,-112.1229142911712,34.12896611231567,1,4,109,18,1,0,0,0
Estrella Mountain Regional Park,2020,0.1070964187683707,-0.139807353721787,38.72,-112.36386460405505,33.32784079444161,1,4,109,18,1,0,0,0
Black Canyon City,2020,0.1230189434532346,-0.160385217391559,0.0,-112.1229142911712,34.12896611231567,1,5,125,4,1,0,0,0
Estrella Mountain Regional Park,2020,0.0913450016511928,-0.1356552645473114,0.0,-112.36386460405505,33.32784079444161,1,5,125,4,1,0,0,0
South Mountain Park and Preserve,2020,0.087963562752326,-0.1264401991819781,0.0,-112.07403564386821,33.335509687319345,1,5,125,4,1,0,0,0
Suguaro Lake,2020,0.1277538157302264,-0.1709514309977689,0.0,-111.54542234104356,33.598266304516876,1,5,125,4,1,0,0,0
Black Canyon City,2020,0.1169425255660221,-0.1598771234746177,0.01,-112.1229142911712,34.12896611231567,1,5,141,20,1,0,0,0
Estrella Mountain Regional Park,2020,0.0878849842754047,-0.1358027642284464,0.01,-112.36386460405505,33.32784079444161,1,5,141,20,1,0,0,0
South Mountain Park and Preserve,2020,0.0840822125361704,-0.1256362246763524,0.01,-112.07403564386821,33.335509687319345,1,5,141,20,1,0,0,0
Suguaro Lake,2020,0.1235091982082019,-0.171971003884527,0.01,-111.54542234104356,33.598266304516876,1,5,141,20,1,0,0,0
Gold Butte National Monument,2020,0.1112189140894758,-0.1503546936676596,69.14,-114.19532579229212,36.27557715942212,1,3,68,8,1,0,0,0
Gold Butte National Monument,2020,0.1198108719488017,-0.155395518480451,3.69,-114.19532579229212,36.27557715942212,1,3,84,24,1,0,0,0
Gold Butte National Monument,2020,0.1234716011183839,-0.1598417458375892,33.32,-114.19532579229212,36.27557715942212,1,4,100,9,1,0,0,0
Gold Butte National Monument,2020,0.1164536912654833,-0.1635209743466126,0.1,-114.19532579229212,36.27557715942212,1,4,116,25,1,0,0,0
Gold Butte National Monument,2020,0.111911821701698,-0.1642735294628176,10.59,-114.19532579229212,36.27557715942212,1,5,132,11,1,0,0,0
Gold Butte National Monument,2020,0.1045930692337778,-0.1583322828906571,0.22,-114.19532579229212,36.27557715942212,1,5,148,27,1,0,0,0
Golden Valley,2020,0.1252489951064682,-0.1651754771140343,12.06,-114.28358990627721,35.02097918802749,1,3,68,8,1,0,0,0
Golden Valley,2020,0.1398612999425709,-0.174065959376145,0.49,-114.28358990627721,35.02097918802749,1,3,84,24,1,0,0,0
Golden Valley,2020,0.1399716411384856,-0.1805274897716662,18.78,-114.28358990627721,35.02097918802749,1,4,100,9,1,0,0,0
Golden Valley,2020,0.1183984836240225,-0.1668429233322503,0.11,-114.28358990627721,35.02097918802749,1,4,116,25,1,0,0,0
Golden Valley,2020,0.1060682763891516,-0.162236000250794,11.95,-114.28358990627721,35.02097918802749,1,5,132,11,1,0,0,0
Golden Valley,2020,0.0984789121588402,-0.1590066083951921,0.02,-114.28358990627721,35.02097918802749,1,5,148,27,1,0,0,0
Gold Butte National Monument,2020,0.1126937443194539,-0.1484199117337406,26.61,-114.19532579229212,36.27557715942212,1,3,75,15,1,0,0,0
Golden Valley,2020,0.1507563692423172,-0.1827171748386302,26.61,-114.28358990627721,35.02097918802749,1,3,75,15,1,0,0,0
Gold Butte National Monument,2020,0.1204119249643196,-0.1686349478027711,32.93,-114.19532579229212,36.27557715942212,1,3,91,31,1,0,0,0
Golden Valley,2020,0.1475838955359016,-0.179783929410216,32.93,-114.28358990627721,35.02097918802749,1,3,91,31,1,0,0,0
Gold Butte National Monument,2020,0.1290374948019781,-0.1700798436181022,35.71,-114.19532579229212,36.27557715942212,1,4,107,16,1,0,0,0
Golden Valley,2020,0.1435227087086154,-0.1862086833245498,35.71,-114.28358990627721,35.02097918802749,1,4,107,16,1,0,0,0
Gold Butte National Monument,2020,0.1088752037352502,-0.1605122130224294,0.2,-114.19532579229212,36.27557715942212,1,5,123,2,1,0,0,0
Golden Valley,2020,0.1168297771162872,-0.1726295866756372,0.2,-114.28358990627721,35.02097918802749,1,5,123,2,1,0,0,0
Gold Butte National Monument,2020,0.1044534407361711,-0.1591817929550062,1.13,-114.19532579229212,36.27557715942212,1,5,139,18,1,0,0,0
Golden Valley,2020,0.1081071091668784,-0.1702775349946666,1.13,-114.28358990627721,35.02097918802749,1,5,139,18,1,0,0,0
Golden Valley,2020,0.1325341473157938,-0.167899770278617,13.68,-114.28358990627721,35.02097918802749,1,3,75,15,1,0,0,0
Golden Valley,2020,0.1300568694687145,-0.1729507399923169,0.52,-114.28358990627721,35.02097918802749,1,4,107,16,1,0,0,0
Golden Valley,2020,0.1082172820837186,-0.1623000158413297,0.05,-114.28358990627721,35.02097918802749,1,5,123,2,1,0,0,0
Golden Valley,2020,0.1004677098783147,-0.1591179783283992,0.23,-114.28358990627721,35.02097918802749,1,5,139,18,1,0,0,0
Anza-Borrego Desert State Park,2020,0.0715365400691253,-0.1139264541149098,10.95,-116.17218600715876,32.9601360505044,1,3,75,15,1,0,0,0
Anza-Borrego Desert State Park,2020,0.0842225136980187,-0.127831772033957,0.06,-116.17218600715876,32.9601360505044,1,4,107,16,1,0,0,0
Anza-Borrego Desert State Park,2020,0.078505025933924,-0.1259275818916479,0.59,-116.17218600715876,32.9601360505044,1,5,123,2,1,0,0,0
Anza-Borrego Desert State Park,2020,0.0731989931352063,-0.1250751817560801,0.01,-116.17218600715876,32.9601360505044,1,5,139,18,1,0,0,0
Chino Hills,2020,0.2348263270898404,-0.2326647868973488,41.73,-117.77741722644762,33.95166982313173,1,3,66,6,1,0,0,0
Chino Hills,2020,0.2347577872480789,-0.2239046196604606,43.15,-117.77741722644762,33.95166982313173,1,3,82,22,1,0,0,0
Chino Hills,2020,0.2588671734353585,-0.2509403454420285,0.46,-117.77741722644762,33.95166982313173,1,4,114,23,1,0,0,0
