id,Site,Type,date,year,NDVI,NDWI,cloud_cover
18,Picacho Peak State Park,Wild,2020-10-04,2020,0.08221874468237855,-0.13729753765794644,0.0
18,Picacho Peak State Park,Wild,2020-10-20,2020,0.08138000630544294,-0.1359289693507073,0.02
18,Picacho Peak State Park,Wild,2020-11-21,2020,0.08138043294365759,-0.13639466886743312,15.01
18,Picacho Peak State Park,Wild,2020-12-07,2020,0.08016076113556407,-0.13324863689390087,10.45
18,Picacho Peak State Park,Wild,2020-12-23,2020,0.07829416352732783,-0.12875625431118612,46.72
4,Black Canyon City,Wild,2020-06-05,2020,0.12902043669766516,-0.17186188350557302,61.24
23,Suguaro Lake,Wild,2020-06-05,2020,0.1286969224331151,-0.16806676510190569,61.24
4,Black Canyon City,Wild,2020-06-21,2020,0.11782455837015601,-0.16370398937558708,0.01
23,Suguaro Lake,Wild,2020-06-21,2020,0.09685765904898497,-0.14415369905906208,0.01
4,Black Canyon City,Wild,2020-07-07,2020,0.11397631388379957,-0.1645738017286018,0.0
23,Suguaro Lake,Wild,2020-07-07,2020,0.09565899879216458,-0.14573532751868012,0.0
4,Black Canyon City,Wild,2020-07-23,2020,0.11680194490082718,-0.1640340721849917,35.62
4,Black Canyon City,Wild,2020-08-08,2020,0.10967862522306238,-0.16114932966317067,7.51
23,Suguaro Lake,Wild,2020-08-08,2020,0.09675336553405686,-0.14849048514804558,7.51
4,Black Canyon City,Wild,2020-08-24,2020,0.10864898284501406,-0.15378455393712603,5.03
23,Suguaro Lake,Wild,2020-08-24,2020,0.09580493232476159,-0.1380207858286552,5.03
4,Black Canyon City,Wild,2020-09-09,2020,0.10345240296518726,-0.1473828543988924,0.01
23,Suguaro Lake,Wild,2020-09-09,2020,0.0914204649913557,-0.14536262337847075,0.01
4,Black Canyon City,Wild,2020-09-25,2020,0.10240128004498823,-0.14610132570592002,0.0
23,Suguaro Lake,Wild,2020-09-25,2020,0.09139453062956734,-0.1437011100007269,0.0
4,Black Canyon City,Wild,2020-10-11,2020,0.09868983401616478,-0.1420479734630164,0.0
23,Suguaro Lake,Wild,2020-10-11,2020,0.08935626358493409,-0.14234440809805768,0.0
4,Black Canyon City,Wild,2020-10-27,2020,0.09560599768934369,-0.13924255103692043,3.65
23,Suguaro Lake,Wild,2020-10-27,2020,0.09191654377368916,-0.14576602041712985,3.65
4,Black Canyon City,Wild,2020-11-28,2020,0.09403535654315043,-0.13602328557410814,0.48
23,Suguaro Lake,Wild,2020-11-28,2020,0.0870027803908787,-0.1377996702783018,0.48
4,Black Canyon City,Wild,2020-12-14,2020,0.0988946345319278,-0.13509977519204183,52.33
23,Suguaro Lake,Wild,2020-12-14,2020,0.08580107415616509,-0.13200975557017375,52.33
4,Black Canyon City,Wild,2020-06-05,2020,0.112723131425791,-0.15723787805293976,59.84
9,Estrella Mountain Regional Park,Wild,2020-06-05,2020,0.09032831662828239,-0.140989121336941,59.84
