id,Site,Type,date,year,NDVI,NDWI,cloud_cover
8,Chino Hills,Wild,2020-01-18,2020,0.19147941950933503,-0.1888495149878179,9.22
8,Chino Hills,Wild,2020-02-03,2020,0.2206058437575226,-0.21519040275926296,15.45
8,Chino Hills,Wild,2020-02-19,2020,0.2301024787451913,-0.22459938287139738,0.48
5,Carlsbad Ranch,Plantation,2020-01-02,2020,0.13482987770042365,-0.17081723596179982,1.83
2,Anza-Borrego Desert State Park,Wild,2020-01-02,2020,0.08064940351368133,-0.11527853777927548,1.83
8,Chino Hills,Wild,2020-01-02,2020,0.17207962984510378,-0.17492328533145735,1.83
5,Carlsbad Ranch,Plantation,2020-01-18,2020,0.1438151259013879,-0.1789205771428455,0.24
2,Anza-Borrego Desert State Park,Wild,2020-01-18,2020,0.08861029584262334,-0.12385519770438592,0.24
8,Chino Hills,Wild,2020-01-18,2020,0.1934537006223879,-0.19206518841947728,0.24
2,Anza-Borrego Desert State Park,Wild,2020-02-03,2020,0.12289928652612031,-0.15280312601675555,48.0
8,Chino Hills,Wild,2020-02-03,2020,0.2182519204598251,-0.21519956537153526,48.0
2,Anza-Borrego Desert State Park,Wild,2020-02-19,2020,0.09692142055176735,-0.13220698689143326,21.58
8,Chino Hills,Wild,2020-02-19,2020,0.22628341452074457,-0.22355810793829112,21.58
1,Antelope Valley California Poppy Reserve,Wild,2020-01-09,2020,0.14527743538566465,-0.1746775145919561,30.61
8,Chino Hills,Wild,2020-01-09,2020,0.22454057639958183,-0.21526298624161486,30.61
1,Antelope Valley California Poppy Reserve,Wild,2020-01-25,2020,0.15792972105665615,-0.1839192037780789,9.17
8,Chino Hills,Wild,2020-01-25,2020,0.2019721995143392,-0.1984889095351981,9.17
1,Antelope Valley California Poppy Reserve,Wild,2020-02-10,2020,0.15828729717145487,-0.18865010176194197,32.57
8,Chino Hills,Wild,2020-02-10,2020,0.21499395750212816,-0.21224986417268005,32.57
1,Antelope Valley California Poppy Reserve,Wild,2020-02-26,2020,0.16393209013645413,-0.1936013899940295,0.17
8,Chino Hills,Wild,2020-02-26,2020,0.2212546225319941,-0.22073056040321137,0.17
8,Chino Hills,Wild,2020-01-25,2020,0.21676986857364403,-0.22038473570562928,76.46
8,Chino Hills,Wild,2020-02-10,2020,0.21346379326033166,-0.2200844945405872,51.45
8,Chino Hills,Wild,2020-02-26,2020,0.20580322716620633,-0.22135691724430745,0.03
6,Carrizo Plain National Monument,Wild,2020-01-16,2020,0.18765919378490606,-0.1986004623797935,18.99
6,Carrizo Plain National Monument,Wild,2020-02-01,2020,0.21199831912389108,-0.21747526805982947,1.59
6,Carrizo Plain National Monument,Wild,2020-02-17,2020,0.19431719897620217,-0.21068330723989415,13.67
15,Lompoc Flower Fields,Plantation,2020-01-16,2020,0.13270511259443918,-0.12828087158196574,53.88
6,Carrizo Plain National Monument,Wild,2020-01-16,2020,0.16302602571713992,-0.1804808831530153,53.88
7,Channel Islands National Park,Wild,2020-01-16,2020,0.1099993843373564,-0.08460834677144133,53.88
10,Figueroa Mountain,Wild,2020-01-16,2020,0.2192687368924915,-0.22183814341599878,53.88
21,Sedgwick Reserve,Wild,2020-01-16,2020,0.19314818084789181,-0.1849948623664154,53.88
15,Lompoc Flower Fields,Plantation,2020-02-01,2020,0.13607633266922745,-0.15175114565423484,0.13
6,Carrizo Plain National Monument,Wild,2020-02-01,2020,0.19176130114231485,-0.2008390981064651,0.13
7,Channel Islands National Park,Wild,2020-02-01,2020,0.09599730493473023,-0.08357784019714849,0.13
10,Figueroa Mountain,Wild,2020-02-01,2020,0.2223174106653299,-0.22701494636391698,0.13
14,Laura and Jack Dangermond Reserve,Wild,2020-02-01,2020,0.27037042289624613,-0.25094004860645563,0.13
16,Montaña de Oro State Park,Wild,2020-02-01,2020,0.23698918499165952,-0.22676915830895591,0.13
21,Sedgwick Reserve,Wild,2020-02-01,2020,0.20625372655313107,-0.2049895784599476,0.13
15,Lompoc Flower Fields,Plantation,2020-02-17,2020,0.13465283678357856,-0.15130007850089863,8.71
6,Carrizo Plain National Monument,Wild,2020-02-17,2020,0.18410682684850158,-0.20134088698807448,8.71
7,Channel Islands National Park,Wild,2020-02-17,2020,0.10574941832265011,-0.09684403197720508,8.71
10,Figueroa Mountain,Wild,2020-02-17,2020,0.22463380792767088,-0.23073448767410748,8.71
14,Laura and Jack Dangermond Reserve,Wild,2020-02-17,2020,0.3140036722436028,-0.2946984029172204,8.71
16,Montaña de Oro State Park,Wild,2020-02-17,2020,0.24337265142303274,-0.23714795002993577,8.71
21,Sedgwick Reserve,Wild,2020-02-17,2020,0.2195848974926009,-0.22288105056109117,8.71
7,Channel Islands National Park,Wild,2020-02-01,2020,0.09924470828250918,-0.08703004287577208,7.94
7,Channel Islands National Park,Wild,2020-02-17,2020,0.10528216864343393,-0.09632465574399741,21.94
19,Red Hills Recreational Managment Area,Wild,2020-01-07,2020,0.18772197849629677,-0.19445757627453503,47.0
19,Red Hills Recreational Managment Area,Wild,2020-02-08,2020,0.22098134977383457,-0.2199369798676596,4.66
19,Red Hills Recreational Managment Area,Wild,2020-02-24,2020,0.23573777174325666,-0.23467251045153276,3.72
6,Carrizo Plain National Monument,Wild,2020-01-07,2020,0.18818999482249818,-0.19827888089925114,36.3
16,Montaña de Oro State Park,Wild,2020-01-07,2020,0.21270419291393025,-0.2016960908071316,36.3
6,Carrizo Plain National Monument,Wild,2020-01-23,2020,0.1403881386201905,-0.14620822165481084,30.27
16,Montaña de Oro State Park,Wild,2020-01-23,2020,0.22381318724435692,-0.20887472680833055,30.27
6,Carrizo Plain National Monument,Wild,2020-02-08,2020,0.20071397740531813,-0.2101920719239166,13.27
16,Montaña de Oro State Park,Wild,2020-02-08,2020,0.2565677283464084,-0.24244988692660036,13.27
6,Carrizo Plain National Monument,Wild,2020-02-24,2020,0.19713384228293043,-0.20925534178305902,1.52
16,Montaña de Oro State Park,Wild,2020-02-24,2020,0.2413693131606663,-0.23408647005232613,1.52
15,Lompoc Flower Fields,Plantation,2020-01-07,2020,0.14888604716317455,-0.16808584592170012,14.05
6,Carrizo Plain National Monument,Wild,2020-01-07,2020,0.1877696025587621,-0.19712951221813138,14.05
14,Laura and Jack Dangermond Reserve,Wild,2020-01-07,2020,0.21073398830599474,-0.20200224477260073,14.05
16,Montaña de Oro State Park,Wild,2020-01-07,2020,0.21528529808341548,-0.205209498823542,14.05
15,Lompoc Flower Fields,Plantation,2020-01-23,2020,0.13162156276555545,-0.1485429691118147,3.17
14,Laura and Jack Dangermond Reserve,Wild,2020-01-23,2020,0.21684888083428006,-0.20658168482068867,3.17
16,Montaña de Oro State Park,Wild,2020-01-23,2020,0.2241904199272776,-0.2100205923879298,3.17
6,Carrizo Plain National Monument,Wild,2020-02-08,2020,0.20051325138746234,-0.20954882417841872,61.9
14,Laura and Jack Dangermond Reserve,Wild,2020-02-08,2020,0.26899666121867505,-0.2532409807248964,61.9
